System Name,,,Quality,,,,,,,Affordability,,,Accessiblity/Reliability,,,,,,,TMF,,,,,,Governance,,,,,,Average,
,PWSID,No MCLs or M&Rs in Last 10 Years (1 is Yes),10 Year MCLs,10 Year M&Rs,2+ MCLs in last 5 years (1) or 1 MCL (2),5 Year MCLs,3+ (1) or 1+ (2) M and R in last 5 years,5+ (1) or 1+ (2) M and R in last 5 years,5 Year M&Rs,Bill Total,% of Avg,Small System AND Production Insufficient,Jan 2017 55GPCD,July 2017 55GPCD,2017 Well Levels,2017 Projected Shortages,Primary Water Source,2013 Contaminated Groundwater,Year of Operating Ratio Listed (most recent data available),Operating Ratio,Required Operator Level,Operator Below Required,No operator,Highest Trained Operator Level (2015),Shared Operators (Y/N),Governance Code,Small or Large CWS,Distribution System Issues,News of Mismanagement or Extreme Quality Concerns,Edited OR,Year of Operating Ratio Listed (most recent data available),Average,Years
CAL POLY POMONA UNIVERSITY,CA1910022,,2,0,2,1,,,0,,0,,1,1,1,1,2,2,,NA,T3,,,T4,N,9,Small,,,NA,,,
CAL-AM WATER COMPANY - DUARTE,CA1910186,1,0,0,,0,,,0,65.34,1.033860759,,1,1,1,1,1,0,2018,0.554,Any Level,,,T4,Y,4,Large,,,NA,,,
CAL/AM WATER COMPANY - BALDWIN HILLS,CA1910052,1,0,0,,0,,,0,71.89,1.1375,,1,1,1,1,3,3,,,T1,,,T4,Y,4,Large,,,NA,,,
CAL/AM WATER COMPANY - SAN MARINO,CA1910139,1,0,0,,0,,,0,54.91,0.868829114,,1,1,1,1,3,2,,,T3,,,T4,Y,4,Large,,,NA,,,
CALIFORNIA DOMESTIC WATER COMPANY,CA1910199,1,0,0,,0,,,0,,0,,2,1,,,1,1,2016,0.967,T5,,,T5,N,3,Large,,,0.967,2016,0.984259057,2014-2016
CALIFORNIA WATER SERVICE CO-LAKE HUGHES,CA1910242,1,0,0,,0,,,0,95.41,1.509651899,,1,1,1,1,1,0,2017,1.018,T2,,,T2,Y,4,Small,,,NA,,,
CALIFORNIA WATER SERVICE CO-LEONA VALLEY,CA1910243,1,0,0,,0,,,0,95.41,1.509651899,,1,1,,,3,2,,,T2,,,T2,Y,4,Small,,,NA,,,
CALIFORNIA WATER SERVICE CO.-LANCASTER,CA1910010,1,0,0,,0,,,0,95.41,1.509651899,,1,1,1,1,1,0,,,Any Level,,,T2,Y,4,Small,,,NA,,,
CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,CA1910033,,0,2,,0,2,2,2,68.66,1.086392405,,1,1,2,1,3,2,2018,0.82,T2,,,T2,Y,4,Large,,,NA,,,
CALIFORNIA WATER SERVICE CO. - HERM/REDO,CA1910134,1,0,0,,0,,,0,68.66,1.086392405,,1,1,,,3,0,2018,0.748,T1,,,T2,Y,4,Large,,,NA,,,
CALIFORNIA WATER SERVICE CO. - PALOS VERDES,CA1910104,1,0,0,,0,,,0,68.66,1.086392405,,1,1,4,1,3,0,2018,0.791,None,,,T3,Y,4,Large,,,NA,,,
CALIFORNIA WATER SERVICE CO. Ð EAST LA,CA1910036,1,0,0,,0,,,0,77.21,1.221677215,,1,1,1,1,3,2,2018,0.606,T2,,,T3,Y,4,Large,,,NA,,,
CALIFORNIAN MOBILE HOME PARK,CA1900843,,0,6,,0,1,1,6,,0,1,2,1,1,1,1,0,,NA,None,,,T2,Y,6,Small,,,NA,,,
CAMP WILLIAMS- RESORT,CA1900529,,0,11,,0,2,2,1,,0,,1,1,,,1,0,,NA,T1,,,D1 (no T),N,9,Small,,,NA,,,
CASA DULCE ESTATES,CA1900717,1,0,0,,0,,,0,,0,1,2,2,1,1,1,0,,NA,None,,,T2,Y,9,Small,,,NA,,,
"CERRITOS - CITY, WATER DEPT",CA1910019,1,0,0,,0,,,0,31.43,0.497310127,,,,,,3,0,2017,1.621,T2,,,T2,N,1,Large,,,1.621,2017,0.696192777,2015-2017
CITY OF ALHAMBRA,CA1910001,,1,0,,0,,,0,,0,,1,1,1,1,3,2,2017,0.978,T3,,,T3,N,1,Large,,,0.978,2017,1.103321185,2015-2017
CITY OF ARCADIA,CA1910003,,0,7,,0,1,2,3,31.91,0.504905063,,1,1,2,1,1,2,2017,1.36,T3,,,T3,N,1,Large,,,1.36,2017,0.705826773,2015-2017
CITY OF INDUSTRY WATERWORKS SYSTEMS,CA1910029,1,0,0,,0,,,0,,0,,1,1,1,1,1,1,2017,0.974,None,,,T4,Y,1,Large,,,0.974,2017,1.112973673,2015-2017
CITY OF SOUTH PASADENA,CA1910154,1,0,0,,0,,,0,82.58,1.30664557,,1,1,1,1,3,2,2017,0.762,T2,,,T3,N,1,Large,,,0.762,2017,1.424402524,2015-2017
CLEAR SKIES MOBILE HOME RANCH,CA1900817,,3,0,1,2,,,0,,0,,1,1,,1,1,0,,NA,None,,Yes,None,N,6,Small,,,NA,,,
COLORADO MUTUAL WATER COMPANY,CA1900801,,0,1,,0,2,2,1,,0,,1,1,1,1,1,0,,NA,None,,,T2,Y,3,Small,,,NA,,,
"COMMERCE-CITY, WATER DEPT",CA1910050,1,0,0,,0,,,0,73.09,1.156487342,,,,,,3,4,2017,0.823,T2,,,T3,Y,1,Large,,,0.823,2017,1.201044701,2015-2017
"COMPTON-CITY, WATER DEPT",CA1910026,,0,3,,0,2,2,1,83.75,1.325158228,,,,,,3,0,2017,0.784,Any Level,,,T4,N,1,Large,,,0.784,2017,1.170686315,2015-2017
COVINA IRRIGATING COMPANY,CA1910128,1,0,0,,0,,,0,,0,,2,2,2,1,2,3,2017,0.435,T4,,,T5,N,3,Large,,,0.435,2017,1.510962575,2015-2017
"COVINA-CITY, WATER DEPT",CA1910127,1,0,0,,0,,,0,68.27,1.080221519,,,,,,3,0,2017,0.745,None,,,T3,N,1,Large,,,0.745,2017,1.241563142,2015-2017
CRESCENTA VALLEY WATER DISTRICT,CA1910028,1,0,0,,0,,,0,102.7,1.625,,1,1,3,1,3,2,2016,1.132,T3,,,T4,N,5,Large,,,1.132,2016,0.896078423,2015-2017
DEL RIO MUTUAL,CA1900130,,0,5,,0,2,2,1,,0,,1,1,1,1,1,0,2016,0.692,None,,Yes,None,N,3,Small,,,0.692,2016,1.040449892,2015-2017
DESERT PALMS MOBILE HOME PARK,CA1900693,1,0,0,,0,,,0,,0,,1,,,,1,0,,NA,None,,Yes,None,N,6,Small,,,NA,,,
"DOWNEY - CITY, WATER DEPT.",CA1910034,,1,2,,0,,,0,29.95,0.473892405,,,,,,1,2,2017,0.666,None,,,T3,N,1,Large,,,0.666,2017,1.592605933,2015-2017
EAST PASADENA WATER CO,CA1910020,,1,0,2,1,,,0,51.52,0.815189873,,1,1,1,1,1,1,,NA,Any Level,,,T3,N,4,Large,,,NA,,,
EL DORADO MUTUAL WATER COMPANY,CA1900803,1,0,0,,0,,,0,64,1.012658228,,1,1,,,3,0,2016,0.844,T2,,,T2,N,3,Small,,,0.844,2016,1.227946903,2014-2016
"EL MONTE-CITY, WATER DEPT.",CA1910038,,1,0,,0,,,0,42.72,0.675949367,,,,,,1,1,2017,0.804,T2,,,T3,Y,1,Large,,,0.804,2017,1.066171863,2015-2017
EL RANCHO MOBILE HOME PARK,CA1900636,1,0,0,,0,,,0,,0,,1,1,1,1,1,0,,NA,T1,,,T2,Y,6,Small,,,NA,,,
"EL SEGUNDO-CITY, WATER DEPT.",CA1910040,1,0,0,,0,,,0,49.96,0.790506329,,,,,,3,0,2017,0.837,None,,,T2,N,1,Large,,,0.837,2017,1.165692278,2015-2017
EVERGREEN MUTUAL WATER COMPANY,CA1900804,,1,0,2,1,,,0,,0,,1,1,,1,1,0,2016,0.737,None,,,T2,N,3,Small,,,0.737,2016,1.233216785,2014-2016
FENNER CANYON YOUTH CONSERVATION CAMP,CA1910801,1,0,0,,0,,,0,,0,,1,1,2,1,1,0,,NA,None,,,T1,N,9,Small,,,NA,,,
FOOTHILL MUNICIPAL WATER DIST,CA1910032,,1,0,,0,,,0,,0,,,,,,3,0,2016,0.946,None,,,T3,N,5,Large,,,0.946,2016,1.062832631,2015-2017
"GLENDALE-CITY, WATER DEPT",CA1910043,1,0,0,,0,,,0,65.34,1.033860759,,,,,,3,3,2017,0.792,T4,,,T4,N,1,Large,,,0.792,2017,1.196534831,2015-2017
"GLENDORA-CITY, WATER DEPT",CA1910044,1,0,0,,0,,,0,79.1,1.251582278,,,,,,3,4,2017,0.648,T2,,,T2,N,1,Large,,,0.648,2017,1.306497261,2015-2017
GOLDEN SANDS MOBILE HOME PARK,CA1900649,,1,1,,0,2,2,1,,0,1,2,2,1,1,1,0,,NA,None,,,T2,Y,6,Small,,,NA,,,
"GOLDEN STATE WATER CO - BELL, BELL GARDENS",CA1910011,,1,0,,0,,,0,82.4,1.303797468,,,,,,3,2,2018,0.496,T2,,,T3,N,4,Large,,,NA,,,
GOLDEN STATE WATER CO - WILLOWBROOK,CA1910072,1,0,0,,0,,,0,82.4,1.303797468,,1,1,3,1,1,0,,,T1,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER CO. - FLORENCE/GRAHAM,CA1910077,1,0,0,,0,,,0,82.4,1.303797468,,1,1,3,1,3,0,,,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - HOLLYDALE,CA1910195,1,0,0,,0,,,0,82.4,1.303797468,,1,1,3,1,1,1,,,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - ARTESIA,CA1910004,1,0,0,,0,,,0,82.4,1.303797468,,1,1,2,1,1,1,,,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - NORWALK,CA1910098,1,0,0,,0,,,0,82.4,1.303797468,,1,1,1,1,3,4,,,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - CULVER CITY,CA1910030,,1,0,,0,,,0,82.4,1.303797468,,1,1,1,1,3,0,,,T1,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - SOUTHWEST,CA1910155,,1,2,,0,2,2,1,82.4,1.303797468,,1,1,,,3,0,,,T2,,,T3,N,4,Large,1,,NA,,,
GOLDEN STATE WATER CO-SOUTH SAN GABRIEL,CA1910223,1,0,0,,0,,,0,65.13,1.030537975,,1,1,1,1,3,2,2018,0.374,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER CO.-SOUTH ARCADIA,CA1910212,1,0,0,,0,,,0,65.13,1.030537975,,1,1,3,1,1,1,,,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY - CLAREMONT,CA1910024,,1,0,2,1,,,0,65.13,1.030537975,,1,1,2,1,3,3,2018,0.614,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN STATE WATER COMPANY-SAN DIMAS,CA1910142,1,0,0,,0,,,0,65.13,1.030537975,,1,1,2,1,3,3,2018,0.633,T2,,,T3,Y,4,Large,,,NA,,,
GOLDEN VALLEY MUNICIPAL WATER DISTRICT,CA1900767,,0,1,,0,,,0,,0,,1,1,1,1,1,0,2016,1.056,T1,Yes,Yes,None,N,5,Small,,,1.056,2016,0.872208374,2015-2017
GREEN VALLEY COUNTY WATER DISTRICT,CA1910244,1,0,0,,0,,,0,90,1.424050633,,,,,,1,1,2016,1.83,T1,,,T3,Y,5,Small,,,1.83,2016,1.268910271,2015-2017
HAWTHORNE-CITY WATER DEPT.,CA1910047,1,0,0,,0,,,0,,0,,1,1,1,1,3,0,,NA,T3,,,T3,Y,1,Large,,,NA,,,
HEMLOCK MUTUAL WATER COMPANY,CA1910053,,2,28,,0,,,0,,0,1,2,2,1,1,1,0,2016,1.064,Any Level,,,D3 (no T),N,3,Small,,,1.064,2016,0.961309811,2014-2016
"HUNTINGTON PARK-CITY, WATER DEPT",CA1910049,1,0,0,,0,,,0,,0,,,,,,3,2,2017,0.736,T1,,,T3,N,1,Large,,,0.736,2017,,
"INGLEWOOD- CITY, WATER DEPT.",CA1910051,,1,1,,0,,,0,,0,,,,,,3,0,2017,1.196,T2,,,T4,N,1,Large,,,1.196,2017,1.184599066,2015-2017
KINNELOA IRRIGATION DISTRICT,CA1910035,1,0,0,,0,,,0,120.69,1.909651899,,1,1,1,1,1,1,2016,1.048,Any Level,,,T2,N,7,Small,,,1.048,2016,0.891512129,2015-2017
L.A RESIDENTIAL COMMUNITY FOUNDATION,CA1900062,,3,0,1,3,,,0,,0,,1,1,4,1,4,0,,NA,None,,,T3,Y,9,Small,,,NA,,,
LA CANADA IRRIGATION DISTRICT,CA1910054,1,0,0,,0,,,0,68.53,1.084335443,,1,1,3,1,3,3,2016,1.073,D3,,,T3,N,7,Large,,,1.073,2016,,
LA COUNTY WATERWORKS DIST 29 & 80-MALIBU,CA1910204,1,0,0,,0,,,0,134.07,2.121360759,,1,1,4,1,3,0,2016,0.933,T1,,,T2,Y,2,Large,,,0.933,2016,,
LA COUNTY WATERWORKS DIST 36-VAL VERDE,CA1910185,1,0,0,,0,,,0,56.15,0.888449367,,1,1,3,1,3,0,2016,1.057,None,,,T3,Y,2,Large,,,1.057,2016,1.130699619,2015-2017
LA COUNTY WATERWORKS DIST 4 & 34-LANCASTER,CA1910070,,0,1,,0,,,0,,0,,1,1,3,1,3,3,,NA,T2,,,T3,Y,2,Large,,,NA,,1.155008684,2015-2017
LA COUNTY WATERWORKS DIST 40 REG. 35-N.E. L.A.,CA1910027,,0,1,,0,,,0,,0,,1,1,1,1,1,0,,NA,T1,,,T3,Y,2,Small,,,NA,,,
LA COUNTY WATERWORKS DISTRICT 37-ACTON,CA1910248,1,0,0,,0,,,0,36.6,0.579113924,,1,1,3,1,3,2,2016,1.13,T2,,,T3,Y,2,Large,,,1.13,2016,,
LA COUNTY WW DIST 40 REG 38 LAKE L.A,CA1910005,1,0,0,,0,,,0,,0,,1,1,3,1,3,0,,NA,Any Level,,,T3,Y,2,Large,,,NA,,1.010592695,2015-2017
LA COUNTY WW DIST 40 REG. 39-ROCK CREEK,CA1910025,1,0,0,,0,,,0,,0,1,2,2,3,1,3,0,2016,1.08,T1,,,T3,Y,2,Small,,,1.08,2016,,
"LA COUNTY WW DIST 40, R24, 27,33-PEARBLSM",CA1910203,1,0,0,,0,,,0,37.55,0.59414557,,,,,,3,3,2016,1.08,T2,,,T3,Y,2,Small,,,1.08,2016,,
LA COUNTY WW DISTRICT 21-KAGEL CANYON,CA1910075,1,0,0,,0,,,0,119.55,1.891613924,1,2,1,4,1,3,0,2016,0.303,None,,,T2,Y,2,Small,,,0.303,2016,,
LA HABRA HEIGHTS COUNTY WATER DISTRICT,CA1910218,1,0,0,,0,,,0,60.28,0.953797468,,1,1,,,3,0,2016,1.184,None,,,T3,N,5,Large,,,1.184,2016,1.711235143,2015-2017
LA PUENTE VALLEY COUNTY WATER DISTRICT,CA1910060,1,0,0,,0,,,0,51,0.806962025,,1,1,1,1,1,1,2016,1.353,T3,,,T4,Y,5,Large,,,1.353,2016,1.056431373,2015-2017
"LA VERNE, CITY WATER DIVISION",CA1910062,,4,0,1,2,,,0,56.08,0.887341772,,,,,,3,4,2017,1.037,T3,,,T3,N,1,Large,,,1.037,2017,0.901297017,2015-2017
LAKE ELIZABETH MUTUAL WATER COMPANY,CA1910056,,3,1,2,1,,,0,63,0.996835443,,1,1,,,3,0,2016,0.848,T2,,,T3,N,3,Small,,,0.848,2016,1.039212457,2015-2017
"LAKEWOOD - CITY, WATER DEPT",CA1910239,1,0,0,,0,,,0,43.85,0.693829114,,,,,,1,1,2017,0.856,T2,,,T5,N,1,Large,,,0.856,2017,1.02884732,"2014-2015, 2017"
LANCASTER PARK MOBILE HOME PARK,CA1900038,,17,3,1,17,1,2,3,,0,1,2,2,1,1,1,1,,NA,T1,,,T2,Y,6,Small,,,NA,,1.333817265,2015-2017
LANCASTER WATER COMPANY,CA1900808,,3,1,1,3,,,0,,0,,1,1,1,1,1,0,,NA,None,,,D1 (no T),Y,9,Small,,,NA,,,
LAND PROJECTS MUTUAL WATER COMPANY,CA1910246,,47,26,1,23,1,1,25,,0,,1,1,1,1,1,1,2016,0.869,Any Level,,,T2,N,3,Small,,,0.869,2016,,
LANDALE MUTUAL WATER COMPANY,CA1900809,,0,2,,0,2,2,2,,0,,1,1,1,1,1,0,2017,0.62,T1,,,T2,N,3,Small,,,0.62,2017,1.130268681,2014-2016
LAS FLORES WATER COMPANY,CA1910061,,0,2,,0,2,2,1,75.77,1.198892405,,1,1,,,3,2,2017,0.866,T2,,,T2,N,4,Large,,,0.866,2017,1.521566624,2014-2016
LAS VIRGENES MUNICIPAL WATER DISTRICT,CA1910225,,0,1,,0,,,0,68.22,1.07943038,,1,1,,,2,0,2016,1.129,T4,,,T5,N,5,Large,,,1.129,2016,,
LEISURE LAKE MOBILE ESTATES,CA1910066,,2,6,,0,2,2,2,,0,,1,1,2,1,1,1,,NA,Any Level,,,T2,Y,6,Small,,,NA,,1.006333732,2015-2017
Liberty Utilities - COMPTON,CA1910021,1,0,0,,0,,,0,102.74,1.625632911,,1,1,2,1,3,0,2018,0.52,T1,,,T5,Y,4,Large,,,NA,,,
Liberty Utilities-BELLFLOWER-NORWALK,CA1910211,1,0,0,,0,,,0,102.74,1.625632911,,1,1,2,1,3,0,,,T1,,,T5,Y,4,Large,,,NA,,,
Liberty Utilities-LYNWOOD,CA1910161,1,0,0,,0,,,0,102.74,1.625632911,,2,1,2,1,3,0,,,T2,,,T5,Y,4,Large,,,NA,,,
LILY OF THE VALLEY MOBILE VILLAGE,CA1900913,,0,1,,0,2,2,1,,0,,1,1,,,1,0,,NA,T1,,,T2,Y,6,Small,,,NA,,,
LINCOLN AVENUE WATER COMPANY,CA1910063,1,0,0,,0,,,0,75.8,1.199367089,,1,1,1,1,2,3,2017,1.015,T2,,,T3,N,3,Large,,,1.015,2017,,
LITTLE BALDY,CA1900158,,0,3,,0,2,2,1,,0,,1,1,,,1,0,,NA,T1,,,T1,N,3,Small,,,NA,,1.214941693,2015-2017
LITTLEROCK CREEK IRRIGATION DIST.,CA1910064,,0,1,,0,,,0,33.81,0.534968354,,1,1,1,1,1,1,2016,1.28,Any Level,,,T2,N,7,Large,,,1.28,2016,,
LLANO DEL RIO WATER COMPANY,CA1900849,1,0,0,,0,,,0,,0,,,,,,1,0,2018,0.736,T1,,,T1,Y,4,Small,,,0.736,2018,,
LLANO MUTUAL WATER COMPANY,CA1900303,,0,6,,0,,,0,,0,,1,1,,,4,0,2016,0.927,,,,T1,Y,3,Small,,,0.927,2016,,
"LOMITA-CITY, WATER DEPT.",CA1910073,,1,0,2,1,,,0,76.81,1.215348101,,,,,,3,0,2017,1.016,T2,,,T3,N,1,Large,1,,1.016,2017,1.026582986,2014-2016
"LONG BEACH-CITY, WATER DEPT.",CA1910065,1,0,0,,0,,,0,53.49,0.846360759,,,,,,3,2,2017,0.943,T5,,,T5,N,1,Large,,,0.943,2017,1.09508606,2015-2017
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA1910067,,1,2,2,1,2,2,2,84.36,1.334810127,,,,,,2,3,2017,0.767,T5,,,T5,N,1,Large,,,0.767,2017,1.032814262,2015-2017
LYNWOOD PARK MUTUAL WATER COMPANY,CA1910081,,2,0,2,1,,,0,48.6,0.768987342,1,2,2,,,1,0,,NA,,,,,,3,Small,,,NA,,,
"LYNWOOD-CITY, WATER DEPT.",CA1910079,,0,4,,0,2,2,2,76.35,1.20806962,,,,,,3,3,,NA,Any Level,,,T2,N,1,Large,,,NA,,,
"MANHATTAN BEACH-CITY, WATER DEPT",CA1910083,1,0,0,,0,,,0,79.64,1.260126582,,,,,,3,3,2017,0.728,T2,,,T3,N,1,Large,,,0.728,2017,,
MAYWOOD MUTUAL WATER CO. #1,CA1910084,,0,1,,0,2,2,1,60.9,0.963607595,,1,1,1,1,3,0,2016,0.939,D2,,,T2,N,3,Large,,,0.939,2016,1.553437076,2015-2017
MAYWOOD MUTUAL WATER CO. #2,CA1910085,1,0,0,,0,,,0,40.86,0.646518987,,1,1,1,1,3,0,2016,0.886,T2,,,T2,N,3,Large,,1,0.886,2016,0.970828967,2014-2016
MAYWOOD MUTUAL WATER CO. #3,CA1910086,1,0,0,,0,,,0,40.5,0.640822785,,1,1,1,1,3,4,2016,0.946,D2,,,T2,N,3,Large,,,0.946,2016,1.089536234,2014-2016
MESA CREST WATER COMPANY,CA1910241,1,0,0,,0,,,0,85.34,1.350316456,,1,1,4,1,3,0,2018,0.906,None,,Yes,None,N,4,Small,,,0.906,2018,1.077805825,2014-2016
METTLER VALLEY MUTUAL,CA1900100,,16,2,1,15,2,2,1,,0,,1,,1,1,1,1,2016,0.671,T1,,,T2,N,3,Small,,,0.671,2016,1.013301803,2015-2017
MITCHELL'S AVENUE E MOBILE HOME PARK,CA1900785,,12,2,1,12,2,2,1,,0,1,2,2,1,1,1,1,,NA,None,,Yes,None,N,6,Small,,,NA,,1.373449245,2015-2017
"MONROVIA-CITY, WATER DEPT",CA1910090,1,0,0,,0,,,0,59.13,0.935601266,,,,,,1,1,2017,0.811,T3,,,T3,Y,1,Large,,,0.811,2017,,
MONTEBELLO LAND & WATER CO.,CA1910091,1,0,0,,0,,,0,48.63,0.769462025,,1,1,1,1,1,0,2017,0.642,T2,,,T2,N,3,Large,,,0.642,2017,1.060785282,2015-2017
"MONTEBELLO-CITY, WATER DEPT.",CA1910117,1,0,0,,0,,,0,,0,,,,,,3,0,2017,0.984,Any Level,,,T4,Y,1,Large,,,0.984,2017,1.436597058,2015-2017
"MONTEREY PARK-CITY, WATER DEPT",CA1910092,1,0,0,,0,,,0,69.31,1.096677215,,,,,,1,0,2017,0.811,T4,,,T4,N,1,Large,,,0.811,2017,0.936416365,2015-2017
NORTH TRAILS MUTUAL WATER COMPANY,CA1907014,,0,3,,0,2,2,1,,0,,1,1,1,1,1,0,2016,1.024,None,,,T2,N,3,Small,,,1.024,2016,1.161194149,2015-2017
"NORWALK - CITY, WATER DEPT",CA1910191,1,0,0,,0,,,0,76.15,1.204905063,,,,,,3,0,2017,0.849,T1,,,T2,N,1,Large,,,0.849,2017,1.192114682,2014-2016
OAK GROVE TRAILER PARK,CA1900537,,0,23,,0,1,2,4,,0,1,2,2,,,1,0,,NA,None,,,,,6,Small,,,NA,,1.141458616,2015-2017
ORCHARD DALE WATER DISTRICT,CA1910101,,1,0,,0,,,0,63.28,1.001265823,,2,1,4,1,4,0,2016,0.806,T2,,,T3,N,5,Large,,,0.806,2016,,
PALM RANCH IRRIGATION DISTRICT,CA1910103,1,0,0,,0,,,0,58.89,0.931803797,,1,1,1,1,3,2,2016,1.036,T2,,,T2,N,7,Large,,,1.036,2016,1.227615761,2015-2017
PALMDALE WATER DISTRICT,CA1910102,1,0,0,,0,,,0,55.71,0.881487342,,1,1,2,1,2,0,2016,1.43,T5,,,T5,N,5,Large,,,1.43,2016,1.070585431,2015-2017
PARADISE RANCH MOBILE HOME PARK,CA1910099,1,0,0,,0,,,0,,0,,1,1,1,1,1,1,,NA,T1,,,T2,N,6,Small,,,NA,,0.912294549,2015-2017
"PARAMOUNT - CITY, WATER DEPT",CA1910105,,1,0,,0,,,0,25.71,0.406803797,,,,,,3,2,2017,0.956,T2,,,T2,N,1,Large,,,0.956,2017,,
"PASADENA-CITY, WATER DEPT",CA1910124,1,0,0,,0,,,0,56.69,0.896993671,,,,,,3,3,2017,0.762,T4,,,T4,N,1,Large,,,0.762,2017,0.967158282,2015-2017
PETER PITCHESS HONOR RANCHO. LAFCO. SHER,CA1900046,,0,2,,0,,,0,,0,,,1,1,,1,0,,NA,Any Level,,,T2,N,9,Large,,,NA,,1.318635932,2015-2017
"PICO RIVERA - CITY, WATER DEPT",CA1910042,,0,1,,0,,,0,57.15,0.904272152,,,,,,1,0,2016,0.682,Any Level,,,T2,Y,1,Large,,,0.682,2016,,
PICO WATER DISTRICT,CA1910125,1,0,0,,0,,,0,42.01,0.66471519,,1,1,1,1,1,1,2016,1,Any Level,,,T3,N,5,Large,,,1,2016,,
